Category,Message
ham,"Sorry, I'll call later"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,I'll talk to the others and probably just come early tomorrow then
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,Come to medical college at 7pm ......forward it da
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
ham,I cant pick the phone right now. Pls send a message
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,Huh so late... Fr dinner?
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
ham,Then she buying today? Ü no need to c meh...
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
ham,Can you pls send me that company name. In saibaba colany
ham,K.k:)when are you going?
ham,U calling me right? Call my hand phone...
ham,Then we gotta do it after that
ham,I have to take exam with march 3
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham,Are you wet right now?
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
ham,Pick you up bout 7.30ish? What time are  and that going?
ham,I've sent ü my part..
ham,My uncles in Atlanta. Wish you guys a great semester.
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,"Alright, we're all set here, text the man"
ham,You will be in the place of that man
ham,Yes.. now only saw your message..
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
ham,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
ham,"Tick, tick, tick ... Babe"
ham,Long time. You remember me today.
ham,What time you think you'll have it? Need to know when I should be near campus
ham,You want to go?
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
ham,Ok enjoy . R u there in home.
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
ham,I am 6 ft. We will be a good combination!
ham,Reverse is cheating. That is not mathematics.
ham,Please leave this topic..sorry for telling that..
ham,K I'll take care of it
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
ham,Mm i am on the way to railway
ham,Going on nothing great.bye
ham,"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
ham,"yeah, that's what I was thinking"
ham,Wife.how she knew the time of murder exactly
ham,"Sorry that took so long, omw now"
ham,:-( sad puppy noise
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?
ham,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Even i cant close my eyes you are in me our vava playing umma :-D
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,Great to hear you are settling well. So what's happenin wit ola?
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Good night my dear.. Sleepwell&amp;Take care
ham,I not busy juz dun wan 2 go so early.. Hee..
ham,Shall i get my pouch?
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,"alright, I'll make sure the car is back tonight"
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
ham,I went to project centre
ham,I sent your maga that money yesterday oh.
ham,"Mah b, I'll pick it up tomorrow"
ham,Hanging out with my brother and his family
ham,Hi Harish's rent has been transfred to ur Acnt.
ham,Host-based IDPS for linux systems.
ham,Huh but i cant go 2 ur house empty handed right?
ham,No..few hours before.went to hair cut .
ham,Leave it. U will always be ignorant.
ham,See you there!
spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
ham,Uhhhhrmm isnt having tb test bad when youre sick
ham,Is that what time you want me to come?
ham,This weekend is fine (an excuse not to do too much decorating)
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
ham,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D"
ham,"Playin space poker, u?"
ham,Did you see that film:)
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Did u see what I posted on your Facebook?
ham,Ya just telling abt tht incident..
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
ham,Dare i ask... Any luck with sorting out the car?
ham,Have you been practising your curtsey?
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,Dont know you bring some food
ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
ham,"Babe, I need your advice"
ham,U sure u can't take any sick time?
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
ham,Well if I'm that desperate I'll just call armand again
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,Easy ah?sen got selected means its good..
ham,Enjoy ur life. . Good night
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
ham,Ding me on ya break fassyole! Blacko from londn
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
ham,"Call me da, i am waiting for your call."
ham,I'm also came to room.
ham,Play w computer? Aiyah i tok 2 u lor?
ham,Whatsup there. Dont u want to sleep
ham,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)"
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps
ham,Then anything special?
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor..."
ham,i dnt wnt to tlk wid u
ham,No calls..messages..missed calls
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,Saw Guys and Dolls last night with Patrick Swayze it was great
ham,What makes you most happy?
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.
ham,I sent lanre fakeye's Eckankar details to the mail box
ham,But am going to college pa. What to do. are else ill come there it self. Pa.
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,No no. I will check all rooms befor activities
ham,Lol no. Just trying to make your day a little more interesting
ham,Think + da. You wil do.
ham,"What part of ""don't initiate"" don't you understand"
ham,"Well, I meant as opposed to my drunken night of before"
ham,"Just arrived, see you in a couple days &lt;3"
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham,say thanks2.
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn"
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,Now press conference da:)
ham,I'm home...
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"
ham,What he said is not the matter. My mind saying some other matter is there.
